Address,Name Tag,Balance,Percentage,Txn Count
"0x4982085c9e2f89f2ecb8131eca71afad896e89cb","mexc.com","4,078.76225574 BNB","0.01032258%","13,360,715"
"0xfa786328caae16a17bd9cff920d9eee9f6a09cd1","","4,059.43861837 BNB","0.01027367%","3"
"0x4f0bc0143c402ebc3588940786e1f1721df7e17c","","4,037.00001607 BNB","0.01021688%","4"
"0x2d0e50ba2c4777c31d86302fdacc55874639cf63","","4,001.020008 BNB","0.01012583%","10"
"0x370c7ec8af55a588c79b08a958da002242b28065","","3,916.63140308 BNB","0.00991225%","88"
"0xd68e71f7d9703739ba3114a9d16f9bab3a42c4e9","","3,883.84316777 BNB","0.00982927%","79"
"0x178165a0261851e4c06624c323e78d0919a2b47c","","3,850.9994 BNB","0.00974615%","1"
"0x3d160f39ce1a0de4ee1e3684b2b4b2088879c0f8","","3,842.83435945 BNB","0.00972549%","182"
"0xf3f5c252e8acd60671f92c7f72cf33661221ef42","","3,713.59095215 BNB","0.00939840%","1,620"
"0x940e2f7c54cf9ce30b3712ce62ca9213f86f9be2","","3,709.89598487 BNB","0.00938905%","15"
"0x9d3bbbb21c392bdaba5fa50e01627559d498e8f3","","3,695.52356866 BNB","0.00935267%","11,656"
"0x1a966c22a0aec22f7ad12e6cea33af22f2ae0df1","","3,662.79092256 BNB","0.00926983%","6"
"0xd382367c64284179cfb883f95f1cfb95fc0a9903","","3,662.01998587 BNB","0.00926788%","5"
"0x0f4c0d71dceb8bf8d68db2ec2dd520d75b342d26","","3,627.41487874 BNB","0.00918030%","86"
"0x487763e2ad355e7a44ab85fd0569d5e78012044f","","3,603.71539061 BNB","0.00912032%","72"
"0x8b99f3660622e21f2910ecca7fbe51d654a1517d","Binance Charity","3,596.69787638 BNB","0.00910256%","416"
"0x8828b5f0687497c46c3114036a5548b0424bd38c","","3,567.7627688 BNB","0.00902933%","6"
"0xb937fb747ef9cb234d2ad2fd8f94f1c6cf5851f1","","3,458.57757335 BNB","0.00875301%","7,206"
"0xc13e474a98cb4d4911d00062fba9f11478a890c2","","3,350.64668916 BNB","0.00847985%","12""0xe1a5b6493054d36ddac337c2b2f407423bf08a9f","Anyswap: Bridge Fantom 2","3,345.95142419 BNB","0.00846797%","16"
"0xe1c33d3eea42227478c39f43dd9a0501887c5a6d","","3,290.00010948 BNB","0.00832637%","1,115"
"0xb41854a6e85c8ba42582f4294038e104de40ad87","","3,207.04073 BNB","0.00811641%","0"
"0xb005741528b86f5952469d80a8614591e3c5b632","","3,173.85262741 BNB","0.00803242%","11,354,685"
"0x4001467f8adf381eb21d71384e2ad3278a886136","","3,131.85813399 BNB","0.00792614%","11"
"0xadf4c208d546e7f1ec24cab1ccda9b47b90b8540","","3,104.4754232 BNB","0.00785684%","295,329"
"0x89c9155fd38d0b311db4668b93de181734ded24a","","3,097.86031373 BNB","0.00784010%","4"
"0xe443801300e1b04e1ea4e76e37228faee01aab20","","3,053.50541775 BNB","0.00772785%","733"
"0x7a71114b811c6a6cd85ada5d6cc8487f692c28ef","","3,028.09182102 BNB","0.00766353%","6"
"0xe7764cef01b22a5590677a63969a87867b8ef962","","3,008.64203858 BNB","0.00761430%","2"
"0x9c9571bb285cdee35cb5d8a92779190f376ebdde","","3,000.96149424 BNB","0.00759487%","74"
"0xcdadbfafb042810aae6a729df9246e71213423f6","","2,999.999708 BNB","0.00759243%","2"
"0x50899582199c06d5264eddcd12879e5210783ba8","","2,999.99956737 BNB","0.00759243%","1,042"
"0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c","","2,985.45332775 BNB","0.00755562%","228"
"0x23c39d936d03c60314118086977a5726a1f35163","","2,948.999555 BNB","0.00746336%","6"
"0x9e040f99fc5cd36d2c6174bee0bb063610b6a204","","2,944.82394438 BNB","0.00745279%","4"
"0xcb4c6ae4f20477f96342467df478ae83512a7bd5","","2,931.81666053 BNB","0.00741987%","107"
"0x314a5aae2040b39a7ee7f9fb8918153e1d8936de","","2,929.000008 BNB","0.00741275%","4"
"0xe62ab5d141773958e4887e71c43f9ca8ed530db7","","2,911.51853397 BNB","0.00736850%","48"
"0x09cfe6ab4e5646237f74586120fd1f0f80dace67","","2,909.21658195 BNB","0.00736268%","1,308"
"0xe19646f4399674c7fe5f89e23bb24fcb9f7a4d91","","2,892.0008522 BNB","0.00731911%","10"
"0x2e8f79ad740de90dc5f5a9f0d8d9661a60725e64","Mexc.com 3","2,890.86184417 BNB","0.00731622%","117,232"
"0x2a322a2768c00eff2c3c801e39181db5b4209986","","2,888.55068169 BNB","0.00731038%","14"
"0x7276241a669489e4bbb76f63d2a43bfe63080f2f","Stader Labs: Stake Manager Contract","2,855.22555391 BNB","0.00722604%","29,823"
"0x5c9e5571b17d91e6accd4f0c29bbe199af1f7b09","India Covid-Crypto Relief Fund","2,853.56854487 BNB","0.00722184%","107"
"0x4f8f58a7fd483fa29cbff91ca8d963a3ea046b75","","2,843.000018 BNB","0.00719510%","3"
"0x89d484a01297f2636dd2ba4e2492e2ef6268ded0","","2,838.79069056 BNB","0.00718444%","52"
"0xb47174c19a9761eee0c3ae85ef189bf3fd329c7f","","2,826.81506704 BNB","0.00715413%","35,455"
"0x499a81e794d2021a306ea9d3f4c2a71d4fb33e7e","","2,825.09855946 BNB","0.00714979%","126"
"0x6533d3d44e8aa110936d6646617a84570a7d5cde","","2,784.95985191 BNB","0.00704821%","12"
"0x1e8dd65243f2519519a49d71a5616a1d1e86936d","","2,774.87669079 BNB","0.00702269%","168"
"0x89c527764f03bcb7dc469707b23b79c1d7beb780","Orbit: Bridge","2,707.88038331 BNB","0.00685313%","193,877"
"0xfb088f46bcbc8ce8f6a10c22071110c80628b3af","","2,630.08474651 BNB","0.00665625%","147,164"
"0x6884a97f2248e84edae12874056ff3caa5e19aa9","","2,610.94416958 BNB","0.00660781%","36"
"0x49d7a171f348ca5b217f2e382a686ee1fa75ff4a","","2,600.10800133 BNB","0.00658038%","128"
"0x4208a71f19f49e6d5f9db65e87d03343586137d2","","2,581.29645589 BNB","0.00653277%","79"
"0xe60bdfbdbb7504f3122e669234d717b480503b06","","2,573.07924263 BNB","0.00651198%","36"
"0xe7beeef17888c5f3d263abe1acbff33dff46ab93","","2,571.90150363 BNB","0.00650900%","14"
"0x191d96ce40b0abd52bc5c449d4260716cf686f6b","","2,567.42499732 BNB","0.00649767%","743"
"0x6dd9811c69d8f4a67ec761786d763f4192f82b6f","","2,567.28902778 BNB","0.00649732%","13"
"0x6e088771785221a0c7101c353c588631c1427a14","","2,565.993033 BNB","0.00649404%","1"
"0xcf1eb79e01b3b3a5e88bb3dc22ccb11a82f7d7c3","","2,552.95102622 BNB","0.00646104%","49"
"0x1b8d0e5095bf368a962df1222282720fa33c60de","","2,503.48838103 BNB","0.00633586%","6,139"
"0x635308e731a878741bfec299e67f5fd28c7553d9","","2,459.58218992 BNB","0.00622474%","2,374,269"
"0x32db0a3a1590d232276d43d5c47fa4bb828d2506","","2,442.6380568 BNB","0.00618186%","35"
"0x6d0d707bdb4ff3e8a0ec5442b993e4cb1fc10e7a","","2,438.73531627 BNB","0.00617198%","645,966"
"0x9d8c629a771c578ba9cbb7088ce06c7db58e4437","","2,425.79247452 BNB","0.00613922%","119"
"0x3d6d3bdb99bfb1c80941f5c06f9a567e85f3ee1e","","2,385.45852251 BNB","0.00603714%","1,027"
"0x0f60a03c13eabd344c93e1071e72bbfb3d934a5c","","2,381.79138759 BNB","0.00602786%","24"
